time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_09_17_01_56_200,598372.4557566883,2321471.6316113737,598372.8821936658,2321471.598720701,0.032999999821186,0.0,0.9927933225161896,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_09/2024_05_09_17_01_55/final.csv
2024_05_09_17_01_56_240,598372.4557566883,2321471.6316113737,598372.8821936658,2321471.598720701,0.0430000014603138,0.00390625,0.9929512395077045,,,
2024_05_09_17_01_56_279,598372.4557566883,2321471.6316113737,598372.8821936658,2321471.598720701,0.0529999993741512,0.0,0.9929306431473888,,,
2024_05_09_17_01_56_319,598372.455691186,2321471.642679767,598372.8821281636,2321471.6097890944,0.0529999993741512,0.001953125,0.9929321941434897,,,
2024_05_09_17_01_56_359,598372.455691186,2321471.642679767,598372.8821281636,2321471.6097890944,0.0820000022649765,-0.001953125,0.9929431717149492,,,
2024_05_09_17_01_56_400,598372.455691186,2321471.642679767,598372.8821281636,2321471.6097890944,0.090999998152256,0.00390625,0.9929553701948056,,,
2024_05_09_17_01_56_440,598372.455691186,2321471.642679767,598372.8821281636,2321471.6097890944,0.096000000834465,-0.00390625,0.9929336202769404,,,
2024_05_09_17_01_56_480,598372.455691186,2321471.642679767,598372.8821281636,2321471.6097890944,0.096000000834465,0.001953125,0.9929466287263372,,,
2024_05_09_17_01_56_519,598372.4660202337,2321471.6538096745,598372.8924572113,2321471.6209190018,0.1110000014305114,0.005859375,0.9930867112834302,,,
2024_05_09_17_01_56_559,598372.4660202337,2321471.6538096745,598372.8924572113,2321471.6209190018,0.1449999958276748,0.001953125,0.992942907567759,,,
2024_05_09_17_01_56_599,598372.4660202337,2321471.6538096745,598372.8924572113,2321471.6209190018,0.1449999958276748,0.001953125,0.992942907567759,,,
2024_05_09_17_01_56_640,598372.4660202337,2321471.6538096745,598372.8924572113,2321471.6209190018,0.1589999943971634,0.0,0.9929654572660747,,,
2024_05_09_17_01_56_680,598372.4660202337,2321471.6538096745,598372.8924572113,2321471.6209190018,0.1689999997615814,0.00390625,0.9929516002051673,,,
2024_05_09_17_01_56_720,598372.476152772,2321471.69814476,598372.9025897495,2321471.665254087,0.1879999935626983,0.0078125,0.9931164785460238,,,
2024_05_09_17_01_56_759,598372.476152772,2321471.69814476,598372.9025897495,2321471.665254087,0.1879999935626983,-0.001953125,0.9931086141810223,,,
2024_05_09_17_01_56_799,598372.476152772,2321471.69814476,598372.9025897495,2321471.665254087,0.1930000036954879,-0.001953125,0.9931086141810223,,,
2024_05_09_17_01_56_839,598372.476152772,2321471.69814476,598372.9025897495,2321471.665254087,0.1930000036954879,-0.00390625,0.9931161844388889,,,
2024_05_09_17_01_56_880,598372.476152772,2321471.69814476,598372.9025897495,2321471.665254087,0.2269999980926513,0.001953125,0.9931219772561725,,,
2024_05_09_17_01_56_920,598372.527929001,2321471.7316575116,598372.9543659786,2321471.6987668388,0.2370000034570694,0.001953125,0.9931135593422095,,,
2024_05_09_17_01_56_960,598372.527929001,2321471.7316575116,598372.9543659786,2321471.6987668388,0.2370000034570694,0.001953125,0.9931135593422095,,,
2024_05_09_17_01_57_000,598372.527929001,2321471.7316575116,598372.9543659786,2321471.6987668388,0.2660000026226043,0.01953125,0.9940984114244832,,,
2024_05_09_17_01_57_039,598372.527929001,2321471.7316575116,598372.9543659786,2321471.6987668388,0.2899999916553497,0.005859375,0.9950960127441938,,,
2024_05_09_17_01_57_079,598372.527929001,2321471.7316575116,598372.9543659786,2321471.6987668388,0.3140000104904175,0.005859375,0.9950960127441938,,,
2024_05_09_17_01_57_119,598372.5691796782,2321471.7872455334,598372.9956166558,2321471.7543548606,0.3140000104904175,0.01171875,0.9953756057367721,,,
2024_05_09_17_01_57_160,598372.5691796782,2321471.7872455334,598372.9956166558,2321471.7543548606,0.3569999933242798,0.02734375,0.9961916933338301,,,
2024_05_09_17_01_57_200,598372.5691796782,2321471.7872455334,598372.9956166558,2321471.7543548606,0.3569999933242798,0.0,0.9968643526171074,,,
2024_05_09_17_01_57_240,598372.5691796782,2321471.7872455334,598372.9956166558,2321471.7543548606,0.3959999978542328,0.0,0.9968643526171074,,,
2024_05_09_17_01_57_279,598372.5691796782,2321471.7872455334,598373.5627126731,2321472.6473573055,0.3959999978542328,0.017578125,0.9978488749063581,,,
2024_05_09_17_01_57_319,598372.6207593998,2321471.853963464,598373.6142923947,2321472.714075236,0.4009999930858612,0.0078125,0.9981253254847579,,,
2024_05_09_17_01_57_359,598372.6207593998,2321471.853963464,598373.6142923947,2321472.714075236,0.4059999883174896,0.01171875,0.9984073119051571,,,
