time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_09_17_32_52_329,599624.3300105465,2321769.56636452,599625.0557296544,2321768.9601880223,0.0430000014603138,0.0,-0.5859120111396294,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_09/2024_05_09_17_32_51(1)/final.csv
2024_05_09_17_32_52_369,599624.3300105465,2321769.56636452,599625.0557296544,2321768.9601880223,0.0529999993741512,-0.001953125,-0.5859006701283365,,,
2024_05_09_17_32_52_410,599624.3300105465,2321769.56636452,599625.0557296544,2321768.9601880223,0.0529999993741512,0.0,-0.5859188761580086,,,
2024_05_09_17_32_52_450,599624.3300105465,2321769.56636452,599625.0557296544,2321768.9601880223,0.0719999969005584,0.0,-0.5859188761580086,,,
2024_05_09_17_32_52_490,599624.3300105465,2321769.56636452,599625.0557296544,2321768.9601880223,0.0719999969005584,-0.001953125,-0.5858212811889719,,,
2024_05_09_17_32_52_529,599624.3404712845,2321769.5553583996,599625.0661903924,2321768.9491819018,0.1059999987483024,-0.001953125,-0.5859836483658334,,,
2024_05_09_17_32_52_569,599624.3404712845,2321769.5553583996,599625.0661903924,2321768.9491819018,0.1159999966621398,0.0,-0.5860088685493178,,,
2024_05_09_17_32_52_609,599624.3404712845,2321769.5553583996,599625.0661903924,2321768.9491819018,0.1159999966621398,0.001953125,-0.5858807159407071,,,
2024_05_09_17_32_52_650,599624.3404712845,2321769.5553583996,599625.0661903924,2321768.9491819018,0.1159999966621398,0.001953125,-0.5858807159407071,,,
2024_05_09_17_32_52_690,599624.3404712845,2321769.5553583996,599625.0661903924,2321768.9491819018,0.135000005364418,0.005859375,-0.5859509290181489,,,
2024_05_09_17_32_52_730,599624.3614591056,2321769.5222777333,599625.0871782135,2321768.9161012354,0.1490000039339065,-0.00390625,-0.5859758371185548,,,
2024_05_09_17_32_52_769,599624.3614591056,2321769.5222777333,599625.0871782135,2321768.9161012354,0.1780000030994415,-0.005859375,-0.5860984591494701,,,
2024_05_09_17_32_52_809,599624.3614591056,2321769.5222777333,599625.0871782135,2321768.9161012354,0.1780000030994415,0.00390625,-0.586106612678347,,,
2024_05_09_17_32_52_849,599624.3614591056,2321769.5222777333,599625.0871782135,2321768.9161012354,0.1829999983310699,-0.001953125,-0.5859977462399495,,,
2024_05_09_17_32_52_890,599624.3614591056,2321769.5222777333,599625.0871782135,2321768.9161012354,0.1979999989271164,0.001953125,-0.5859249979710488,,,
2024_05_09_17_32_52_930,599624.403103022,2321769.511458528,599625.1288221299,2321768.9052820303,0.2070000022649765,0.001953125,-0.5859249979710488,,,
2024_05_09_17_32_52_970,599624.403103022,2321769.511458528,599625.1288221299,2321768.9052820303,0.2070000022649765,-0.001953125,-0.5860508363796633,,,
2024_05_09_17_32_53_009,599624.403103022,2321769.511458528,599625.1288221299,2321768.9052820303,0.2319999933242797,-0.00390625,-0.5861105022814944,,,
2024_05_09_17_32_53_049,599624.403103022,2321769.511458528,599625.1288221299,2321768.9052820303,0.2370000034570694,-0.00390625,-0.5862575474656432,,,
2024_05_09_17_32_53_089,599624.403103022,2321769.511458528,599625.1288221299,2321768.9052820303,0.2560000121593475,-0.005859375,-0.5861218873347592,,,
2024_05_09_17_32_53_130,599624.4449459742,2321769.4674340477,599625.170665082,2321768.86125755,0.2560000121593475,-0.005859375,-0.5861218873347592,,,
2024_05_09_17_32_53_170,599624.4449459742,2321769.4674340477,599625.170665082,2321768.86125755,0.2660000026226043,0.00390625,-0.5862743397200753,,,
2024_05_09_17_32_53_210,599624.4449459742,2321769.4674340477,599625.170665082,2321768.86125755,0.2800000011920929,0.00390625,-0.5862743397200753,,,
2024_05_09_17_32_53_250,599624.4449459742,2321769.4674340477,599625.170665082,2321768.86125755,0.2899999916553497,0.0,-0.5863113672735031,,,
2024_05_09_17_32_53_289,599624.4449459742,2321769.4674340477,599625.170665082,2321768.86125755,0.3089999854564667,0.009765625,-0.5864150978860042,,,
2024_05_09_17_32_53_329,599624.4867889292,2321769.423409567,599625.2125080371,2321768.8172330693,0.328000009059906,0.009765625,-0.5864150978860042,,,
2024_05_09_17_32_53_369,599624.4867889292,2321769.423409567,599625.2125080371,2321768.8172330693,0.3330000042915344,0.001953125,-0.5863131437866362,,,
2024_05_09_17_32_53_410,599624.4867889292,2321769.423409567,599625.2125080371,2321768.8172330693,0.3330000042915344,0.0,-0.5863690402524618,,,
2024_05_09_17_32_53_450,599624.4867889292,2321769.423409567,599625.2125080371,2321768.8172330693,0.3479999899864197,-0.005859375,-0.5864836676461673,,,
2024_05_09_17_32_53_490,599624.4867889292,2321769.423409567,599625.2125080371,2321768.8172330693,0.3619999885559082,0.0,-0.5863651755347227,,,
2024_05_09_17_32_53_529,599624.5494870156,2321769.368441272,599625.2752061235,2321768.762264774,0.3720000088214874,0.0,-0.5863651755347227,,,
2024_05_09_17_32_53_569,599624.5494870156,2321769.368441272,599625.2752061235,2321768.762264774,0.3910000026226043,-0.001953125,-0.5866121824106734,,,
2024_05_09_17_32_53_609,599624.5494870156,2321769.368441272,599625.2752061235,2321768.762264774,0.4009999930858612,0.001953125,-0.5865166669098687,,,
2024_05_09_17_32_53_650,599624.5494870156,2321769.368441272,599625.2752061235,2321768.762264774,0.4149999916553497,0.005859375,-0.5863965069471537,,,
2024_05_09_17_32_53_690,599624.5494870156,2321769.368441272,599625.2901115112,2321768.71694933,0.4149999916553497,0.01171875,-0.5864066944283373,,,
2024_05_09_17_32_53_730,599624.612052409,2321769.335609827,599625.3526769046,2321768.6841178853,0.4399999976158142,0.0078125,-0.5859479016241411,,,
2024_05_09_17_32_53_769,599624.612052409,2321769.335609827,599625.3526769046,2321768.6841178853,0.4399999976158142,0.001953125,-0.5858337866400362,,,
2024_05_09_17_32_53_809,599624.612052409,2321769.335609827,599625.3526769046,2321768.6841178853,0.4539999961853027,0.0078125,-0.5858461172658749,,,
2024_05_09_17_32_53_849,599624.612052409,2321769.335609827,599625.3526769046,2321768.6841178853,0.4589999914169311,0.009765625,-0.5855716620782194,,,
2024_05_09_17_32_53_890,599624.612052409,2321769.335609827,599625.3526769046,2321768.6841178853,0.4690000116825104,0.00390625,-0.58535614788614,,,
2024_05_09_17_32_53_930,599624.6748168388,2321769.269573106,599625.4154413345,2321768.618081164,0.4690000116825104,0.00390625,-0.5836949489432742,,,
2024_05_09_17_32_53_970,599624.6748168388,2321769.269573106,599625.4154413345,2321768.618081164,0.5070000290870667,0.00390625,-0.5836949489432742,,,
2024_05_09_17_32_54_009,599624.6748168388,2321769.269573106,599625.4154413345,2321768.618081164,0.5070000290870667,0.005859375,-0.5834052653368221,,,
2024_05_09_17_32_54_049,599624.6748168388,2321769.269573106,599625.4154413345,2321768.618081164,0.5170000195503235,0.0,-0.5819466476592456,,,
2024_05_09_17_32_54_089,599624.6748168388,2321769.269573106,599625.4154413345,2321768.618081164,0.5170000195503235,0.0,-0.5819466476592456,,,
2024_05_09_17_32_54_130,599624.7790261529,2321769.2259224574,599625.5196506486,2321768.5744305155,0.5360000133514404,0.0078125,-0.5816911889378422,,,
2024_05_09_17_32_54_170,599624.7790261529,2321769.2259224574,599625.5196506486,2321768.5744305155,0.5509999990463257,0.005859375,-0.5815135740953672,,,
2024_05_09_17_32_54_210,599624.7790261529,2321769.2259224574,599625.5196506486,2321768.5744305155,0.5509999990463257,0.005859375,-0.5815135740953672,,,
