time,x,y,global_path_x,global_path_y,linear_velocity,angular_velocity,yaw,mistmatch,discontinuous,origin_path
2024_05_12_15_57_45_000,599749.4832238386,2321346.8791426024,599745.1232311567,2321348.7714884835,0.0379999987781047,-0.00390625,-2.992531761165474,1.0,0.0,/media/asimovsimpc/bulldog/aa-data/extracted_data/alaska/umtn-tele/ocp/mix/2024_05_12/2024_05_12_15_57_44/final.csv
2024_05_12_15_57_45_039,599749.4832238386,2321346.8791426024,599745.1232311567,2321348.7714884835,0.0480000004172325,-0.00390625,-2.992531761165474,,,
2024_05_12_15_57_45_079,599749.4832238386,2321346.8791426024,599745.1232311567,2321348.7714884835,0.0529999993741512,0.0,-2.9925609095332883,,,
2024_05_12_15_57_45_119,599749.4624345179,2321346.8790178574,599745.102441836,2321348.7713637385,0.06700000166893,0.0,-2.9925769725563804,,,
2024_05_12_15_57_45_160,599749.4624345179,2321346.8790178574,599745.102441836,2321348.7713637385,0.06700000166893,0.0,-2.99257075416628,,,
2024_05_12_15_57_45_200,599749.4624345179,2321346.8790178574,599745.102441836,2321348.7713637385,0.0869999974966049,0.0,-2.992600576001121,,,
2024_05_12_15_57_45_240,599749.4624345179,2321346.8790178574,599745.102441836,2321348.7713637385,0.1159999966621398,0.0,-2.992600576001121,,,
2024_05_12_15_57_45_279,599749.4624345179,2321346.8790178574,599745.102441836,2321348.7713637385,0.1159999966621398,-0.001953125,-2.992633370883988,,,
2024_05_12_15_57_45_319,599749.4313169522,2321346.867762317,599745.0713242703,2321348.760108198,0.1299999952316284,0.0,-2.992802407977739,,,
2024_05_12_15_57_45_359,599749.4313169522,2321346.867762317,599745.0713242703,2321348.760108198,0.135000005364418,-0.001953125,-2.992784198259348,,,
2024_05_12_15_57_45_400,599749.4313169522,2321346.867762317,599745.0713242703,2321348.760108198,0.1539999991655349,0.00390625,-2.992955348506473,,,
2024_05_12_15_57_45_440,599749.4313169522,2321346.867762317,599745.0713242703,2321348.760108198,0.164000004529953,0.00390625,-2.992955348506473,,,
2024_05_12_15_57_45_480,599749.4313169522,2321346.867762317,599745.0713242703,2321348.760108198,0.1739999949932098,-0.00390625,-2.992971037639931,,,
2024_05_12_15_57_45_519,599749.4000665534,2321346.8786436236,599745.0400738715,2321348.7709895046,0.1879999935626983,-0.00390625,-2.9931102187666974,,,
2024_05_12_15_57_45_559,599749.4000665534,2321346.8786436236,599745.0400738715,2321348.7709895046,0.2029999941587448,-0.001953125,-2.993134740201165,,,
2024_05_12_15_57_45_599,599749.4000665534,2321346.8786436236,599745.0400738715,2321348.7709895046,0.2220000028610229,-0.001953125,-2.9932943175751285,,,
2024_05_12_15_57_45_640,599749.4000665534,2321346.8786436236,599745.0400738715,2321348.7709895046,0.2319999933242797,-0.001953125,-2.9932943175751285,,,
2024_05_12_15_57_45_680,599749.4000665534,2321346.8786436236,599745.0400738715,2321348.7709895046,0.2460000067949295,0.001953125,-2.9935736732322216,,,
2024_05_12_15_57_45_720,599749.3378314193,2321346.856132543,599744.9778387374,2321348.7484784243,0.2509999871253967,0.00390625,-2.99355518269232,,,
2024_05_12_15_57_45_759,599749.3378314193,2321346.856132543,599744.9778387374,2321348.7484784243,0.2660000026226043,-0.005859375,-2.9937094692999318,,,
2024_05_12_15_57_45_799,599749.3378314193,2321346.856132543,599744.9778387374,2321348.7484784243,0.2750000059604645,-0.005859375,-2.9937094692999318,,,
2024_05_12_15_57_45_839,599749.3378314193,2321346.856132543,599744.9778387374,2321348.7484784243,0.2949999868869781,0.00390625,-2.9937121173174184,,,
2024_05_12_15_57_45_880,599749.3378314193,2321346.856132543,599744.9778387374,2321348.7484784243,0.3039999902248382,-0.0078125,-2.9938699358302663,,,
2024_05_12_15_57_45_920,599749.2649359668,2321346.8778327834,599744.9049432849,2321348.7701786645,0.3190000057220459,0.0,-2.9941322538717148,,,
2024_05_12_15_57_45_960,599749.2649359668,2321346.8778327834,599744.9049432849,2321348.7701786645,0.3190000057220459,-0.00390625,-2.994150892932661,,,
2024_05_12_15_57_46_000,599749.2649359668,2321346.8778327834,599744.9049432849,2321348.7701786645,0.3479999899864197,-0.00390625,-2.9942856144083794,,,
2024_05_12_15_57_46_039,599749.2649359668,2321346.8778327834,599744.9049432849,2321348.7701786645,0.3479999899864197,-0.001953125,-2.9944168120346224,,,
2024_05_12_15_57_46_079,599749.2649359668,2321346.8778327834,599744.9049432849,2321348.7701786645,0.367000013589859,-0.001953125,-2.9945455443023645,,,
2024_05_12_15_57_46_119,599749.202568005,2321346.8774585496,599744.8425753231,2321348.7698044307,0.367000013589859,-0.0078125,-2.9946021093127237,,,
2024_05_12_15_57_46_160,599749.202568005,2321346.8774585496,599744.8425753231,2321348.7698044307,0.3910000026226043,-0.005859375,-2.994847566273762,,,
2024_05_12_15_57_46_200,599749.202568005,2321346.8774585496,599744.8425753231,2321348.7698044307,0.3959999978542328,0.00390625,-2.9949929638728205,,,
2024_05_12_15_57_46_240,599749.202568005,2321346.8774585496,599744.8425753231,2321348.7698044307,0.4059999883174896,0.00390625,-2.994869576092663,,,
2024_05_12_15_57_46_279,599749.202568005,2321346.8774585496,599744.8425753231,2321348.7698044307,0.4399999976158142,-0.0078125,-2.9952634547847325,,,
2024_05_12_15_57_46_319,599749.0986213993,2321346.876834828,599744.7386287174,2321348.769180709,0.4440000057220459,0.0078125,-2.9952664321422087,,,
2024_05_12_15_57_46_359,599749.0986213993,2321346.876834828,599744.7386287174,2321348.769180709,0.4490000009536743,-0.00390625,-2.9951547486752252,,,
2024_05_12_15_57_46_400,599749.0986213993,2321346.876834828,599744.7386287174,2321348.769180709,0.4490000009536743,-0.0078125,-2.9954272841302254,,,
2024_05_12_15_57_46_440,599749.0986213993,2321346.876834828,599744.7386287174,2321348.769180709,0.4779999852180481,-0.0078125,-2.9954272841302254,,,
2024_05_12_15_57_46_480,599749.0986213993,2321346.876834828,599744.7386287174,2321348.769180709,0.4930000007152557,-0.0078125,-2.995813643041244,,,
2024_05_12_15_57_46_519,599749.0259916044,2321346.8542613764,599744.6659989225,2321348.7466072575,0.4979999959468841,-0.00390625,-2.9959418935597015,,,
2024_05_12_15_57_46_559,599749.0259916044,2321346.8542613764,599744.6659989225,2321348.7466072575,0.5120000243186951,-0.00390625,-2.9961947779038574,,,
2024_05_12_15_57_46_599,599749.0259916044,2321346.8542613764,599744.6659989225,2321348.7466072575,0.5120000243186951,0.0,-2.9963134396172797,,,
2024_05_12_15_57_46_640,599749.0259916044,2321346.8542613764,599745.9236200162,2321348.7762911157,0.5360000133514404,0.0,-2.9965794005140647,,,
2024_05_12_15_57_46_680,599749.0259916044,2321346.8542613764,599745.9236200162,2321348.7762911157,0.5320000052452087,-0.005859375,-2.9967242758950263,,,
2024_05_12_15_57_46_720,599748.9220450013,2321346.8536376557,599745.8196734131,2321348.775667395,0.5509999990463257,-0.01171875,-2.996878908438509,,,
2024_05_12_15_57_46_759,599748.9220450013,2321346.8536376557,599745.8196734131,2321348.775667395,0.5609999895095825,-0.009765625,-2.9973524543269794,,,
2024_05_12_15_57_46_799,599748.9220450013,2321346.8536376557,599745.8196734131,2321348.775667395,0.574999988079071,-0.001953125,-2.9978636905336953,,,
2024_05_12_15_57_46_839,599748.9220450013,2321346.8536376557,599745.8196734131,2321348.775667395,0.5849999785423279,-0.001953125,-2.9978636905336953,,,
2024_05_12_15_57_46_880,599748.9220450013,2321346.8536376557,599745.8196734131,2321348.775667395,0.6039999723434448,-0.01171875,-2.9982228935059285,,,
2024_05_12_15_57_46_920,599748.7973090722,2321346.8528891914,599745.694937484,2321348.7749189306,0.6190000176429749,-0.01171875,-2.9985677676566547,,,
2024_05_12_15_57_46_960,599748.7973090722,2321346.8528891914,599745.694937484,2321348.7749189306,0.628000020980835,-0.005859375,-2.998903475269416,,,
2024_05_12_15_57_47_000,599748.7973090722,2321346.8528891914,599745.694937484,2321348.7749189306,0.6380000114440918,-0.009765625,-2.9991386171760634,,,
2024_05_12_15_57_47_039,599748.7973090722,2321346.8528891914,599745.694937484,2321348.7749189306,0.6570000052452087,-0.015625,-2.9999034030382576,,,
2024_05_12_15_57_47_079,599748.7973090722,2321346.8528891914,599745.694937484,2321348.7749189306,0.6669999957084656,-0.0078125,-3.000148513372846,,,
2024_05_12_15_57_47_119,599748.6623113151,2321346.8299415093,599745.5599397268,2321348.7519712485,0.6769999861717224,-0.001953125,-3.000151510746272,,,
2024_05_12_15_57_47_160,599748.6623113151,2321346.8299415093,599745.5599397268,2321348.7519712485,0.6909999847412109,-0.015625,-3.0008905194572577,,,
2024_05_12_15_57_47_200,599748.6623113151,2321346.8299415093,599745.5599397268,2321348.7519712485,0.6909999847412109,-0.009765625,-3.001383088025044,,,
2024_05_12_15_57_47_240,599748.6623113151,2321346.8299415093,599745.5599397268,2321348.7519712485,0.7149999737739563,-0.013671875,-3.001725768341959,,,
2024_05_12_15_57_47_279,599748.6623113151,2321346.8299415093,599745.5599397268,2321348.7519712485,0.7200000286102295,-0.015625,-3.0019777971639274,,,
2024_05_12_15_57_47_319,599748.5166532386,2321346.8512051506,599745.4142816503,2321348.77323489,0.7350000143051147,-0.01171875,-3.002668472730207,,,
2024_05_12_15_57_47_359,599748.5166532386,2321346.8512051506,599745.4142816503,2321348.77323489,0.7350000143051147,-0.01171875,-3.0028996803029964,,,
2024_05_12_15_57_47_400,599748.5166532386,2321346.8512051506,599745.4142816503,2321348.77323489,0.7590000033378601,-0.013671875,-3.0036188232829537,,,
2024_05_12_15_57_47_440,599748.5166532386,2321346.8512051506,599745.4142816503,2321348.77323489,0.7879999876022339,-0.01171875,-3.003851100397715,,,
2024_05_12_15_57_47_480,599748.5166532386,2321346.8512051506,599745.4142816503,2321348.77323489,0.7879999876022339,-0.005859375,-3.0043401682335795,,,
2024_05_12_15_57_47_519,599748.3609325723,2321346.8170643044,599745.258560984,2321348.7390940436,0.8019999861717224,-0.005859375,-3.004467455341567,,,
2024_05_12_15_57_47_559,599748.3609325723,2321346.8170643044,599745.258560984,2321348.7390940436,0.8019999861717224,-0.015625,-3.0050697570281244,,,
2024_05_12_15_57_47_599,599748.3609325723,2321346.8170643044,599745.258560984,2321348.7390940436,0.8309999704360962,-0.005859375,-3.0055181516266707,,,
2024_05_12_15_57_47_640,599748.3609325723,2321346.8170643044,599745.258560984,2321348.7390940436,0.8460000157356262,-0.009765625,-3.0060251643339737,,,
2024_05_12_15_57_47_680,599748.3609325723,2321346.8170643044,599745.258560984,2321348.7390940436,0.8410000205039978,-0.009765625,-3.0060251643339737,,,
2024_05_12_15_57_47_720,599748.2048134243,2321346.8493339997,599745.102441836,2321348.771363739,0.8650000095367432,-0.009765625,-3.006408293211609,,,
2024_05_12_15_57_47_759,599748.2048134243,2321346.8493339997,599745.102441836,2321348.771363739,0.875,0.0,-3.0066703816814506,,,
2024_05_12_15_57_47_799,599748.2048134243,2321346.8493339997,599745.102441836,2321348.771363739,0.875,0.0078125,-3.0064381303440664,,,
2024_05_12_15_57_47_839,599748.2048134243,2321346.8493339997,599745.102441836,2321348.771363739,0.8939999938011169,0.01953125,-3.0059572747857626,,,
2024_05_12_15_57_47_880,599748.2048134243,2321346.8493339997,599745.102441836,2321348.771363739,0.8939999938011169,0.01953125,-3.0059572747857626,,,
2024_05_12_15_57_47_920,599748.0386316829,2321346.8261992075,599744.9362600946,2321348.7482289467,0.9430000185966492,0.0390625,-3.0048797452649816,,,
2024_05_12_15_57_47_960,599748.0386316829,2321346.8261992075,599744.9362600946,2321348.7482289467,0.9430000185966492,0.029296875,-3.0026230321659075,,,
2024_05_12_15_57_48_000,599748.0386316829,2321346.8261992075,599744.9362600946,2321348.7482289467,0.962000012397766,0.017578125,-3.001344549690652,,,
2024_05_12_15_57_48_039,599748.0386316829,2321346.8261992075,599744.9362600946,2321348.7482289467,0.962000012397766,0.017578125,-3.001344549690652,,,
2024_05_12_15_57_48_079,599748.0386316829,2321346.8261992075,599744.9362600946,2321348.7482289467,0.972000002861023,0.01953125,-3.0006360563225494,,,
2024_05_12_15_57_48_119,599747.8410003034,2321346.8471509973,599744.7386287152,2321348.7691807365,0.99099999666214,0.01953125,-2.9997527467802096,,,
2024_05_12_15_57_48_160,599747.8410003034,2321346.8471509973,599744.7386287152,2321348.7691807365,1.0010000467300415,0.037109375,-2.9988626077852354,,,
2024_05_12_15_57_48_200,599747.8410003034,2321346.8471509973,599744.7386287152,2321348.7691807365,1.0299999713897705,0.056640625,-2.996212819303583,,,
2024_05_12_15_57_48_240,599747.8410003034,2321346.8471509973,599744.7386287152,2321348.7691807365,1.0490000247955322,0.0546875,-2.993976600841739,,,
2024_05_12_15_57_48_279,599747.8410003034,2321346.8471509973,599744.7386287152,2321348.7691807365,1.059000015258789,0.041015625,-2.9910134712540954,,,
2024_05_12_15_57_48_319,599747.6437009948,2321346.812760672,599744.5413294066,2321348.7347904113,1.0640000104904177,0.041015625,-2.9910134712540954,,,
2024_05_12_15_57_48_359,599747.6437009948,2321346.812760672,599744.5413294066,2321348.7347904113,1.093000054359436,0.04296875,-2.9885051923581143,,,
2024_05_12_15_57_48_400,599747.6437009948,2321346.812760672,599744.5413294066,2321348.7347904113,1.1069999933242798,0.0390625,-2.9869782780056044,,,
2024_05_12_15_57_48_440,599747.6437009948,2321346.812760672,599744.5413294066,2321348.7347904113,1.1169999837875366,0.03515625,-2.986220690071239,,,
2024_05_12_15_57_48_480,599747.6437009948,2321346.812760672,599744.5413294066,2321348.7347904113,1.1360000371932983,0.02734375,-2.984748451568652,,,
2024_05_12_15_57_48_519,599747.4254131285,2321346.811450877,599744.3230415402,2321348.7334806165,1.1510000228881836,0.033203125,-2.9830088785387363,,,
2024_05_12_15_57_48_559,599747.4254131285,2321346.811450877,599744.3230415402,2321348.7334806165,1.1510000228881836,0.02734375,-2.981771662623211,,,
2024_05_12_15_57_48_599,599747.4254131285,2321346.811450877,599744.3230415402,2321348.7334806165,1.156000018119812,0.01953125,-2.981275577045787,,,
2024_05_12_15_57_48_640,599747.4254131285,2321346.811450877,599744.3230415402,2321348.7334806165,1.156000018119812,0.033203125,-2.98002038268609,,,
2024_05_12_15_57_48_680,599747.4254131285,2321346.811450877,599744.3230415402,2321348.7334806165,1.1799999475479126,0.02734375,-2.977563723695847,,,
2024_05_12_15_57_48_720,599747.2278481637,2321346.8213342503,599744.1254765755,2321348.7433639895,1.1799999475479126,0.02734375,-2.977563723695847,,,
2024_05_12_15_57_48_759,599747.2278481637,2321346.8213342503,599744.1254765755,2321348.7433639895,1.194000005722046,0.033203125,-2.9755097652033293,,,
2024_05_12_15_57_48_799,599747.2278481637,2321346.8213342503,599744.1254765755,2321348.7433639895,1.1990000009536743,0.017578125,-2.974449773895575,,,
2024_05_12_15_57_48_839,599747.2278481637,2321346.8213342503,599744.1254765755,2321348.7433639895,1.2139999866485596,0.017578125,-2.974449773895575,,,
2024_05_12_15_57_48_880,599747.2278481637,2321346.8213342503,599744.1254765755,2321348.7433639895,1.2330000400543213,0.0234375,-2.972464335483929,,,
2024_05_12_15_57_48_920,599746.9888373853,2321346.808831296,599743.8864657971,2321348.730861035,1.246999979019165,0.03515625,-2.9707344638207465,,,
2024_05_12_15_57_48_960,599746.9888373853,2321346.808831296,599743.8864657971,2321348.730861035,1.2519999742507937,0.03515625,-2.9707344638207465,,,
2024_05_12_15_57_49_000,599746.9888373853,2321346.808831296,599743.8864657971,2321348.730861035,1.2619999647140503,0.03125,-2.9694741549631387,,,
2024_05_12_15_57_49_039,599746.9888373853,2321346.808831296,599743.8864657971,2321348.730861035,1.2719999551773071,0.01953125,-2.9689893149821,,,
2024_05_12_15_57_49_079,599746.9888373853,2321346.808831296,599743.8864657971,2321348.730861035,1.281000018119812,0.02734375,-2.9668418663044744,,,
2024_05_12_15_57_49_119,599746.7497601934,2321346.8073967686,599743.6473886052,2321348.729426508,1.2960000038146973,0.021484375,-2.9657529167510925,,,
2024_05_12_15_57_49_160,599746.7497601934,2321346.8073967686,599743.6473886052,2321348.729426508,1.3200000524520874,0.037109375,-2.9645384033363564,,,
2024_05_12_15_57_49_200,599746.7497601934,2321346.8073967686,599743.6473886052,2321348.729426508,1.3200000524520874,0.044921875,-2.9638096000551704,,,
2024_05_12_15_57_49_240,599746.7497601934,2321346.8073967686,599743.6473886052,2321348.729426508,1.343999981880188,0.072265625,-2.959196712168428,,,
2024_05_12_15_57_49_279,599746.7497601934,2321346.8073967686,599743.6473886052,2321348.729426508,1.343999981880188,0.072265625,-2.959196712168428,,,
2024_05_12_15_57_49_319,599746.510550175,2321346.8280990906,599745.52758931,2321348.9617923917,1.3639999628067017,0.087890625,-2.954907584384609,,,
2024_05_12_15_57_49_359,599746.510550175,2321346.8280990906,599745.52758931,2321348.9617923917,1.3830000162124634,0.095703125,-2.9513857057905093,,,
2024_05_12_15_57_49_400,599746.510550175,2321346.8280990906,599745.52758931,2321348.9617923917,1.4019999504089355,0.115234375,-2.9471724344041985,,,
2024_05_12_15_57_49_440,599746.510550175,2321346.8280990906,599745.52758931,2321348.9617923917,1.406999945640564,0.12890625,-2.9422478989647063,,,
